Species,Phylum,Class,Family
Ceratium hexacanthum,Myzozoa,Dinophyceae,Ceratiaceae
Cladopyxis brachiolata,Myzozoa,Dinophyceae,Cladopyxidaceae
Protoperidinium latissimum,Myzozoa,Dinophyceae,Protoperidiniaceae
Odontella longicruris,Ochrophyta,Bacillariophyceae,Triceratiaceae
Histioneis ,Myzozoa,Dinophyceae,Dinophysiaceae
Pontosphaera ,Haptophyta,Prymnesiophyceae,Pontosphaeraceae
Pseudonitzschia fraudulenta,Ochrophyta,Bacillariophyceae,Bacillariaceae
Dissodinium ,Myzozoa,Dinophyceae,Pyrocystaceae
Corisphaera ,Haptophyta,Prymnesiophyceae,Calyptrosphaeraceae
Citharistes apsteinii,Myzozoa,Dinophyceae,Dinophysiaceae
Chaetoceros aequatorialis,Ochrophyta,Bacillariophyceae,Chaetocerotaceae
Aureodinium ,Myzozoa,Dinophyceae,Lophodiniaceae
Actinoptychus ,Ochrophyta,Bacillariophyceae,Heliopeltaceae
Alexandrium ,Myzozoa,Dinophyceae,Gonyaulacaceae
Ceratium ranipes,Myzozoa,Dinophyceae,Ceratiaceae
Nitzschia sp3,Ochrophyta,Bacillariophyceae,Bacillariaceae
Pyrophacus steinii,Myzozoa,Dinophyceae,Pyrophacaceae
Protoperidinium excentricum,Myzozoa,Dinophyceae,Protoperidiniaceae
Guinardia blavyana,Ochrophyta,Bacillariophyceae,Rhizosoleniaceae
Ceratium paradoxides,Myzozoa,Dinophyceae,Ceratiaceae
Nitzschia bicapitata,Ochrophyta,Bacillariophyceae,Bacillariaceae
Amphidoma ,Myzozoa,Dinophyceae,Amphidomataceae
Lioloma pacificum,Ochrophyta,Bacillariophyceae,Thalassionemataceae
Pseudonitzschia subcurvata,Ochrophyta,Bacillariophyceae,Bacillariaceae
Thalassiosira gracilis,Ochrophyta,Bacillariophyceae,Thalassiosiraceae
Plagiotropis ,Ochrophyta,Bacillariophyceae,Plagiotropidaceae
Pyrocystis fusiformis,Myzozoa,Dinophyceae,Pyrocystaceae
Spatulodinium pseudonoctiluca,Myzozoa,Dinophyceae,Kofoidiniaceae
Ceratocorys gourretii,Myzozoa,Dinophyceae,Ceratocoryaceae
Ceratium limulus,Myzozoa,Dinophyceae,Ceratiaceae
Rhaphoneis surirella,Ochrophyta,Bacillariophyceae,Rhaphoneidaceae
Triceratium ,Ochrophyta,Bacillariophyceae,Triceratiaceae
Ceratolithus cristatus,Haptophyta,Prymnesiophyceae,Ceratolithaceae
Gonyaulax milneri,Myzozoa,Dinophyceae,Gonyaulacaceae
Climacosphenia ,Ochrophyta,Bacillariophyceae,Climacospheniaceae
Ceratium symmetricum,Myzozoa,Dinophyceae,Ceratiaceae
Triceratium punctatum,Ochrophyta,Bacillariophyceae,Triceratiaceae
Actinocyclus adriaticus,Ochrophyta,Bacillariophyceae,Hemidiscaceae
Blarina hylophaga,Chordata,Mammalia,Soricidae
Neotoma floridana,Chordata,Mammalia,Cricetidae
Microtus ochrogaster,Chordata,Mammalia,Cricetidae
Synaptomys cooperi,Chordata,Mammalia,Cricetidae
Spermophilus tridecemlineatus,Chordata,Mammalia,Sciuridae
Mus musculus,Chordata,Mammalia,Muridae
Cryptotis parva,Chordata,Mammalia,Soricidae
Chaetodipus hispidus,Chordata,Mammalia,Heteromyidae
Zapus hudsonius,Chordata,Mammalia,Dipodidae
Microtus pinetorum,Chordata,Mammalia,Cricetidae
Aepyceros melampus,Chordata,Mammalia,Bovidae
Connochaetus taurinus,Chordata,Mammalia,Bovidae
Hippopotamus amphibius,Chordata,Mammalia,Hippopotamidae
Equus burchelli,Chordata,Mammalia,Equidae
Giraffe camelopardalis,Chordata,Mammalia,Giraffidae
Kobus ellipsiprymnus,Chordata,Mammalia,Bovidae
Loxodonta africana,Chordata,Mammalia,Elephantidae
Papio anubis,Chordata,Mammalia,Cercopithecidae
Redunca redunca,Chordata,Mammalia,Bovidae
Syncerus caffer,Chordata,Mammalia,Bovidae
Tragelaphus scriptus,Chordata,Mammalia,Bovidae
Diceros bicornis,Chordata,Mammalia,Rhinocerotidae
Phacochoerus aethiopicu,Chordata,Mammalia,Suidae
Spharagemon collare,Arthropoda,Insecta,Acrididae
Aeropedellus clavatus,Arthropoda,Insecta,Acrididae
Melanoplus undet,NULL,NULL,NULL
Arphia pseudonietana,Arthropoda,Insecta,Acrididae
Atlanticus testaceus,Arthropoda,Insecta,Tettigoniidae
Chorthippus curtipennis,Arthropoda,Insecta,Acrididae
Melanoplus dawsoni,Arthropoda,Insecta,Acrididae
Schistocerca emarginata,Arthropoda,Insecta,Tetrigidae
Tetrix undet,NULL,NULL,NULL
Chloealtis conspersa,Arthropoda,Insecta,Acrididae
Melanoplus fasciatus,Arthropoda,Insecta,Acrididae
Tetrix ornata,Arthropoda,Insecta,Tetrigidae
Conocephalus undet,NULL,NULL,NULL
Scudderia undet,NULL,NULL,NULL
Gryllus undet,NULL,NULL,NULL
Neoconocephalus ensiger,Arthropoda,Insecta,Tettigoniidae
Dissosteira carolina,Arthropoda,Insecta,Acrididae
Conocephalus saltans,Arthropoda,Insecta,Tettigoniidae
Oecanthus undet,NULL,NULL,NULL
Hesperotettix viridis-pratensis,Arthropoda,Insecta,Acrididae
Orphulella pelidna,Arthropoda,Insecta,Acrididae
Camnula pellucida,Arthropoda,Insecta,Acrididae
Tettigidea lateralis,Arthropoda,Insecta,Tetrigidae
Melanoplus flavidus,Arthropoda,Insecta,Acrididae
Nemobius undet,NULL,NULL,NULL
Diapheromera femorata,Arthropoda,Insecta,Diapheromeridae
Orchelimum undet,NULL,NULL,NULL
Conocephalus fasciatus,Arthropoda,Insecta,Tettigoniidae
Scudderia curvicauda,Arthropoda,Insecta,Tettigoniidae
Scudderia texensis,Arthropoda,Insecta,Tettigoniidae
Melanoplus borealis,Arthropoda,Insecta,Acrididae
Spharagemon bolli,Arthropoda,Insecta,Acrididae
Conocephalus strictus,Arthropoda,Insecta,Tettigoniidae
Conocephalus nigropleurum,Arthropoda,Insecta,Tettigoniidae
Psinidia ,Arthropoda,Insecta,Acrididae
Psinidia fenestralis,Arthropoda,Insecta,Acrididae
Ceuthophilus undet,NULL,NULL,NULL
Conocephalus brevipennis,Arthropoda,Insecta,Tettigoniidae
Scudderia furcata,Arthropoda,Insecta,Tettigoniidae
Trachyrhachys kiowa,Arthropoda,Insecta,Acrididae
Amblycorypha oblongifolia,Arthropoda,Insecta,Tettigoniidae
Nomotettix cristatus,Arthropoda,Insecta,Tetrigidae
Microtus pennsylvanicus,Chordata,Mammalia,Cricetidae
Cibolacris parviceps,Arthropoda,Insecta,Acrididae
Derotmema laticinctum,Arthropoda,Insecta,Acrididae
Psoloessa texana,Arthropoda,Insecta,Acrididae
Trimerotropis pallidipennis,Arthropoda,Insecta,Acrididae
Paropomala pallida,Arthropoda,Insecta,Acrididae
Bootettix argentatus,Arthropoda,Insecta,Acrididae
Clematodes larreae,Arthropoda,Insecta,Acrididae
Cordillacris crenulata,Arthropoda,Insecta,Acrididae
Phrynotettix robustus,Arthropoda,Insecta,Romaleidae
Orphuella pelidna,Arthropoda,Insecta,Acrididae
Melanoplus aridus,Arthropoda,Insecta,Acrididae
Cordillacris occipitalis,Arthropoda,Insecta,Acrididae
Conozoa texana,Arthropoda,Insecta,Acrididae
Melanoplus arizonae,Arthropoda,Insecta,Acrididae
Trimerotropis californicus,Arthropoda,Insecta,Acrididae
Leprus intermedius,Arthropoda,Insecta,Acrididae
Acantherus piperatus,Arthropoda,Insecta,Acrididae
Hippopedon capito,Arthropoda,Insecta,Acrididae
Ligurotettix planum,Arthropoda,Insecta,Acrididae
Melanoplus bowditchi,Arthropoda,Insecta,Acrididae
Tropidolophus formosus,Arthropoda,Insecta,Acrididae
Dactylotum bicolor,Arthropoda,Insecta,Acrididae
Amphitornus coloradus,Arthropoda,Insecta,Acrididae
Shistocerca nitens,Arthropoda,Insecta,Acrididae
Syrbula montezuma,Arthropoda,Insecta,Acrididae
Trachyrachis kiowa,Arthropoda,Insecta,Acrididae
Paropomala wyomingensis,Arthropoda,Insecta,Acrididae
Aeoloplides elegans,Arthropoda,Insecta,Acrididae
Phlibostroma quadrimaculatum,Arthropoda,Insecta,Acrididae
Uta stansburiana,Chordata,Reptilia,Phrynosomatidae
Cnemidophorus inornatus,Chordata,Reptilia,Teiidae
Cnemidophorus tigris,Chordata,Reptilia,Teiidae
Phrynosoma modestum,Chordata,Reptilia,Phrynosomatidae
Crotaphytus collaris,Chordata,Reptilia,Crotaphytidae
Holbrookia maculata,Chordata,Reptilia,Phrynosomatidae
Cophosaurus texanus,Chordata,Reptilia,Phrynosomatidae
Cnemidophorus grahmii,Chordata,Reptilia,Teiidae
Cnemidophorus uniparens,Chordata,Reptilia,Teiidae
Eumeces obsoletus,Chordata,Reptilia,Scincidae
Phrynosoma cornutum,Chordata,Reptilia,Phrynosomatidae
Cnemidophorus neomexicanus,Chordata,Reptilia,Teiidae
Cnemidophorus sp,Chordata,Reptilia,Teiidae
Sceloporus magister,Chordata,Reptilia,Phrynosomatidae
Bufo debilis,Chordata,Amphibia,Bufonidae
Gambelia wislizenii,Chordata,Reptilia,Crotaphytidae
Unknown sp1,NULL,NULL,NULL
Unknown sp2,NULL,NULL,NULL
Cnemidophorus exanguis,Chordata,Reptilia,Teiidae
Sonora semiannulata,Chordata,Reptilia,Colubridae
Conacarpus erectus,Tracheophyta,Magnoliopsida,Combretaceae
Laguncularia racemosa,Tracheophyta,Magnoliopsida,Combretaceae
Avicennia germinans,Tracheophyta,Magnoliopsida,Acanthaceae
Lampropeltis getula,Chordata,Reptilia,Colubridae
Masticophis flagellum,Chordata,Reptilia,Colubridae
Nerodia sipedon,Chordata,Reptilia,Natricidae
Rana blairi,Chordata,Amphibia,Ranidae
Scincella lateralis,Chordata,Reptilia,Scincidae
Tantilla gracilis,Chordata,Reptilia,Colubridae
Terrapene ornata,Chordata,Reptilia,Emydidae
Thamnophis radix,Chordata,Reptilia,Natricidae
Thamnophis sirtalis,Chordata,Reptilia,Natricidae
Trachemys scripta,Chordata,Reptilia,Emydidae
Tropidoclonion lineatum,Chordata,Reptilia,Natricidae
Rana catesbeiana,Chordata,Amphibia,Ranidae
Acris crepitan,Chordata,Amphibia,Hylidae
Bufo woodhousii,Chordata,Amphibia,Bufonidae
Cnemidophorous sexlineatus,Chordata,Reptilia,Teiidae
Coluber constrictor,Chordata,Reptilia,Colubridae
Diadophis punctatus,Chordata,Reptilia,Dipsadidae
Elaphe emoryi,Chordata,Reptilia,Colubridae
Gastrophryne olivicea,Chordata,Amphibia,Microhylidae
Bufo americanus,Chordata,Amphibia,Bufonidae
Ophisaurus attenuatus,Chordata,Reptilia,Anguidae
Thamnophis proximus,Chordata,Reptilia,Natricidae
Lampropeltis calligaster,Chordata,Reptilia,Colubridae
Lampropeltis triangulum,Chordata,Reptilia,Colubridae
Ambystoma texanum,Chordata,Amphibia,Ambystomatidae
Chrysemys picta,Chordata,Reptilia,Emydidae
Elaphe obsoleta,Chordata,Reptilia,Colubridae
Agkistrodon contortrix,Chordata,Reptilia,Viperidae
Storeria dekayi,Chordata,Reptilia,Natricidae
Pituophis catenifer,Chordata,Reptilia,Colubridae
Pseudacris triseriata,Chordata,Amphibia,Hylidae
Dipodomys sp,Chordata,Mammalia,Heteromyidae
Reithrodontomys megalotus,Chordata,Mammalia,Cricetidae
Peromyscus sp,Chordata,Mammalia,Cricetidae
Solanum swartzianum,Tracheophyta,Magnoliopsida,Solanaceae
Qualea multiflora,Tracheophyta,Magnoliopsida,Vochysiaceae
Celtis ehrenbergiana,Tracheophyta,Magnoliopsida,Cannabaceae
Picramnia warmingiana,Tracheophyta,Magnoliopsida,Picramniaceae
Luehea alternifolia,Tracheophyta,Magnoliopsida,Malvaceae
Nectandra angustifolia,Tracheophyta,Magnoliopsida,Lauraceae
Machaerium villosum,Tracheophyta,Magnoliopsida,Fabaceae
Pisonia zapallo,Tracheophyta,Magnoliopsida,Nyctaginaceae
Pseudobombax grandiflorum,Tracheophyta,Magnoliopsida,Malvaceae
Sebastiania serrata,Tracheophyta,Magnoliopsida,Euphorbiaceae
Senna macranthera,Tracheophyta,Magnoliopsida,Fabaceae
Aspidosperma cylindrocarpon,Tracheophyta,Magnoliopsida,Apocynaceae
Inga uruguensis,Tracheophyta,Magnoliopsida,Fabaceae
Rollinia sylvatica,Tracheophyta,Magnoliopsida,Annonaceae
Copaifera langsdorffii,Tracheophyta,Magnoliopsida,Fabaceae
Duguetia lanceolata,Tracheophyta,Magnoliopsida,Annonaceae
Inga luschnathiana,Tracheophyta,Magnoliopsida,Fabaceae
Acacia polyphylla,Tracheophyta,Magnoliopsida,Fabaceae
Hirtella hebeclada,Tracheophyta,Magnoliopsida,Chrysobalanaceae
Machaerium aculeatum,Tracheophyta,Magnoliopsida,Fabaceae
Machaerium brasiliense,Tracheophyta,Magnoliopsida,Fabaceae
Amaioua guianensis,Tracheophyta,Magnoliopsida,Rubiaceae
Coussarea contracta,Tracheophyta,Magnoliopsida,Rubiaceae
Miconia inaequidens,Tracheophyta,Magnoliopsida,Melastomataceae
Vernonanthura diffusa,Tracheophyta,Magnoliopsida,Asteraceae
Maytenus robusta,Tracheophyta,Magnoliopsida,Celastraceae
Actinostemon communis,Tracheophyta,Magnoliopsida,Euphorbiaceae
Croton piptocalyx,Tracheophyta,Magnoliopsida,Euphorbiaceae
Securinega guaraiuva,Tracheophyta,Magnoliopsida,Phyllanthaceae
Sebastiania edwalliana,Tracheophyta,Magnoliopsida,Euphorbiaceae
Trichilia hirta,Tracheophyta,Magnoliopsida,Meliaceae
Cariniana legalis,Tracheophyta,Magnoliopsida,Lecythidaceae
Patagonula americana,Tracheophyta,Magnoliopsida,Ehretiaceae
Xylopia brasiliensis,Tracheophyta,Magnoliopsida,Annonaceae
Psychotria vauthieri,Tracheophyta,Magnoliopsida,Rubiaceae
Guatteria nigrescens,Tracheophyta,Magnoliopsida,Annonaceae
Myrcia splendens,Tracheophyta,Magnoliopsida,Myrtaceae
Chomelia sericea,Tracheophyta,Magnoliopsida,Rubiaceae
Trichilia clausseni,Tracheophyta,Magnoliopsida,Meliaceae
Zanthoxylum hyemale,Tracheophyta,Magnoliopsida,Rutaceae
Cecropia pachystachya,Tracheophyta,Magnoliopsida,Urticaceae
Cordia sellowiana,Tracheophyta,Magnoliopsida,Ehretiaceae
Myrtaceae sp,Tracheophyta,Magnoliopsida,Myrtaceae
Ocotea beulahiae,Tracheophyta,Magnoliopsida,Lauraceae
Erythroxylum sp,Tracheophyta,Magnoliopsida,Erythroxylaceae
Eugenia hiemalis,Tracheophyta,Magnoliopsida,Myrtaceae
Miconia hymenonervia,Tracheophyta,Magnoliopsida,Melastomataceae
Campomanesia guaviroba,Tracheophyta,Magnoliopsida,Myrtaceae
Eugenia sp,Tracheophyta,Magnoliopsida,Myrtaceae
Eugenia ligustrina,Tracheophyta,Magnoliopsida,Myrtaceae
Eugenia excelsa,Tracheophyta,Magnoliopsida,Myrtaceae
Plinia cauliflora,Tracheophyta,Magnoliopsida,Myrtaceae
Galipea jasminiflora,Tracheophyta,Magnoliopsida,Rutaceae
Myrcia hebeclada,Tracheophyta,Magnoliopsida,Myrtaceae
Esenbeckia febrifuga,Tracheophyta,Magnoliopsida,Rutaceae
Zanthoxylum acuminatum,Tracheophyta,Magnoliopsida,Rutaceae
Angostura paniculata,Tracheophyta,Magnoliopsida,Rutaceae
Zanthoxylum monogynum,Tracheophyta,Magnoliopsida,Rutaceae
Coffea arabica,Tracheophyta,Magnoliopsida,Rubiaceae
Gordonia fruticosa,Tracheophyta,Magnoliopsida,Theaceae
Chomelia obtusa,Tracheophyta,Magnoliopsida,Rubiaceae
Ixora gardneriana,Tracheophyta,Magnoliopsida,Rubiaceae
Trichilia elegans,Tracheophyta,Magnoliopsida,Meliaceae
Myrcia brasiliensis,Tracheophyta,Magnoliopsida,Myrtaceae
Lafoensia pacari,Tracheophyta,Magnoliopsida,Lythraceae
Protium widgrenii,Tracheophyta,Magnoliopsida,Burseraceae
Cryptocarya aschersoniana,Tracheophyta,Magnoliopsida,Lauraceae
Inga fagifolia,Tracheophyta,Magnoliopsida,Fabaceae
Lauraceae sp,Tracheophyta,Magnoliopsida,Lauraceae
Merostachys riedeliana,Tracheophyta,Liliopsida,Poaceae
Ocotea corymbosa,Tracheophyta,Magnoliopsida,Lauraceae
Piper sp,Tracheophyta,Magnoliopsida,Piperaceae
Solanum granuloso-leprosum,Tracheophyta,Magnoliopsida,Solanaceae
Anolis stratulus,Chordata,Reptilia,Dactyloidae
Anolis evermanni,Chordata,Reptilia,Dactyloidae
Anolis gundlachi,Chordata,Reptilia,Dactyloidae
Anolis k,Chordata,Reptilia,Dactyloidae
Matayba guianensis,Tracheophyta,Magnoliopsida,Sapindaceae
Rudgea viburnoides,Tracheophyta,Magnoliopsida,Rubiaceae
Heisteria ovata,Tracheophyta,Magnoliopsida,Erythropalaceae
Simarouba versicolor,Tracheophyta,Magnoliopsida,Simaroubaceae
Tabebuia impetiginosa,Tracheophyta,Magnoliopsida,Bignoniaceae
Cardiopetalum calophyllum,Tracheophyta,Magnoliopsida,Annonaceae
Platypodium elegans,Tracheophyta,Magnoliopsida,Fabaceae
Alibertia macrophylla,Tracheophyta,Magnoliopsida,Rubiaceae
Vatairea macrocarpa,Tracheophyta,Magnoliopsida,Fabaceae
Vochysia tucanorum,Tracheophyta,Magnoliopsida,Vochysiaceae
Aspidosperma discolor,Tracheophyta,Magnoliopsida,Apocynaceae
Dilodendron bipinnatum,Tracheophyta,Magnoliopsida,Sapindaceae
Erythroxylum daphnites,Tracheophyta,Magnoliopsida,Erythroxylaceae
Pouteria ramiflora,Tracheophyta,Magnoliopsida,Sapotaceae
Bauhinia cupulata,Tracheophyta,Magnoliopsida,Fabaceae
Magonia pubescens,Tracheophyta,Magnoliopsida,Sapindaceae
Myracrodruon urundeuva,Tracheophyta,Magnoliopsida,Anacardiaceae
Aspidosperma subincanum,Tracheophyta,Magnoliopsida,Apocynaceae
Qualea grandiflora,Tracheophyta,Magnoliopsida,Vochysiaceae
Austroplenckia populnea,Tracheophyta,Magnoliopsida,Celastraceae
Bauhinia rufa,Tracheophyta,Magnoliopsida,Fabaceae
Protium heptaphyllum,Tracheophyta,Magnoliopsida,Burseraceae
Vochysia haenkeana,Tracheophyta,Magnoliopsida,Vochysiaceae
Hymenaea stigonocarpa,Tracheophyta,Magnoliopsida,Fabaceae
Anadenanthera macrocarpa,Tracheophyta,Magnoliopsida,Fabaceae
Astronium fraxinifolium,Tracheophyta,Magnoliopsida,Anacardiaceae
Cheiloclinium cognatum,Tracheophyta,Magnoliopsida,Celastraceae
Cousarea hydrangeaefolia,Tracheophyta,Magnoliopsida,Rubiaceae
Virola sebifera,Tracheophyta,Magnoliopsida,Myristicaceae
Aspidosperma parvifolium,Tracheophyta,Magnoliopsida,Apocynaceae
Emmotum nitens,Tracheophyta,Magnoliopsida,Icacinaceae
Brosimum gaudichaudii,Tracheophyta,Magnoliopsida,Moraceae
Maprounea guianensis,Tracheophyta,Magnoliopsida,Euphorbiaceae
Sterculia striata,Tracheophyta,Magnoliopsida,Malvaceae
Himatanthus obovatus,Tracheophyta,Magnoliopsida,Apocynaceae
Gomidesia sellowiana,Tracheophyta,Magnoliopsida,Myrtaceae
Siparuna guianensis,Tracheophyta,Magnoliopsida,Siparunaceae
Ixora warmingii,Tracheophyta,Magnoliopsida,Rubiaceae
Stryphnodendron adstringens,Tracheophyta,Magnoliopsida,Fabaceae
Acosmium subelegansåÊ,Tracheophyta,Magnoliopsida,Fabaceae
Cybistax antisyphilitica,Tracheophyta,Magnoliopsida,Bignoniaceae
Inga cylindrica,Tracheophyta,Magnoliopsida,Fabaceae
Pouteria gardneriana,Tracheophyta,Magnoliopsida,Sapotaceae
Machaerium acutifolium,Tracheophyta,Magnoliopsida,Fabaceae
Tocoyena formosa,Tracheophyta,Magnoliopsida,Rubiaceae
Tabebuia roseo-alba,Tracheophyta,Magnoliopsida,Bignoniaceae
Byrsonima sericea,Tracheophyta,Magnoliopsida,Malpighiaceae
Maytenus glazioviana,Tracheophyta,Magnoliopsida,Celastraceae
Dipterix alata,Tracheophyta,Magnoliopsida,Fabaceae
Aspidosperma macrocarpon,Tracheophyta,Magnoliopsida,Apocynaceae
Agonandra brasiliensis,Tracheophyta,Magnoliopsida,Opiliaceae
Maytenus alaternoides,Tracheophyta,Magnoliopsida,Celastraceae
Terminalia brasiliensis,Tracheophyta,Magnoliopsida,Combretaceae
Apuleia leiocarpa,Tracheophyta,Magnoliopsida,Fabaceae
Myrcia tomentosa,Tracheophyta,Magnoliopsida,Myrtaceae
Bowdichia virgilioides,Tracheophyta,Magnoliopsida,Fabaceae
Byrsonima crassifolia,Tracheophyta,Magnoliopsida,Malpighiaceae
Myrcia rostrata,Tracheophyta,Magnoliopsida,Myrtaceae
Plathymenia reticulada,Tracheophyta,Magnoliopsida,Fabaceae
Tabebuia chrysotricha,Tracheophyta,Magnoliopsida,Bignoniaceae
Xylopia aromatica,Tracheophyta,Magnoliopsida,Annonaceae
Tapirira guianensis,Tracheophyta,Magnoliopsida,Anacardiaceae
Casearia grandiflora,Tracheophyta,Magnoliopsida,Salicaceae
Pterogyne nitens,Tracheophyta,Magnoliopsida,Fabaceae
Pseudobombax longiflorum,Tracheophyta,Magnoliopsida,Malvaceae
Tabebuia aurea,Tracheophyta,Magnoliopsida,Bignoniaceae
Eriotheca gracilipes,Tracheophyta,Magnoliopsida,Malvaceae
Myrcia sellowiana,Tracheophyta,Magnoliopsida,Myrtaceae
Myrciaria glanduliflora,Tracheophyta,Magnoliopsida,Myrtaceae
Andira paniculata,Tracheophyta,Magnoliopsida,Fabaceae
Guettarda viburnoides,Tracheophyta,Magnoliopsida,Rubiaceae
Siphoneugena densiflora,Tracheophyta,Magnoliopsida,Myrtaceae
Miconia burchellii,Tracheophyta,Magnoliopsida,Melastomataceae
Anacardium occidentale,Tracheophyta,Magnoliopsida,Anacardiaceae
Terminalia argentea,Tracheophyta,Magnoliopsida,Combretaceae
Eriotheca pubescens,Tracheophyta,Magnoliopsida,Malvaceae
Vitex polygama,Tracheophyta,Magnoliopsida,Lamiaceae
Sapium glandulatum,Tracheophyta,Magnoliopsida,Euphorbiaceae
Diospyros burchellii,Tracheophyta,Magnoliopsida,Ebenaceae
Inga alba,Tracheophyta,Magnoliopsida,Fabaceae
Vochysia rufa,Tracheophyta,Magnoliopsida,Vochysiaceae
Luehea candicans,Tracheophyta,Magnoliopsida,Malvaceae
Dipteryx polyphylla,Tracheophyta,Magnoliopsida,Fabaceae
Pseudobombax tomentosum,Tracheophyta,Magnoliopsida,Malvaceae
Tabebuia ochracea,Tracheophyta,Magnoliopsida,Bignoniaceae
Rapanea ferruginea,Tracheophyta,Magnoliopsida,Primulaceae
Platymiscium floribundum,Tracheophyta,Magnoliopsida,Fabaceae
Machaerium opacum,Tracheophyta,Magnoliopsida,Fabaceae
Anadenanthera colubrina,Tracheophyta,Magnoliopsida,Fabaceae
Myrtaceae ,Tracheophyta,Magnoliopsida,Myrtaceae
Pouteria torta,Tracheophyta,Magnoliopsida,Sapotaceae
Sapium sceleratum,Tracheophyta,Magnoliopsida,Euphorbiaceae
Triplaris sp,Tracheophyta,Magnoliopsida,Polygonaceae
Alibertia edulis,Tracheophyta,Magnoliopsida,Rubiaceae
Curatella americana,Tracheophyta,Magnoliopsida,Dilleniaceae
Dalbergia miscolobium,Tracheophyta,Magnoliopsida,Fabaceae
Qualea dichotoma,Tracheophyta,Magnoliopsida,Vochysiaceae
Schefflera macrophylla,Tracheophyta,Magnoliopsida,Araliaceae
Campomanesia velutina,Tracheophyta,Magnoliopsida,Myrtaceae
Metrodorea stipularis,Tracheophyta,Magnoliopsida,Rutaceae
Mouriri glazioviana,Tracheophyta,Magnoliopsida,Melastomataceae
Guazuma ulmifolia,Tracheophyta,Magnoliopsida,Malvaceae
Simarouba amara,Tracheophyta,Magnoliopsida,Simaroubaceae
Acosmium dasycarpum,Tracheophyta,Magnoliopsida,Fabaceae
Connarus suberosus,Tracheophyta,Magnoliopsida,Connaraceae
Guapira noxia,Tracheophyta,Magnoliopsida,Nyctaginaceae
Kielmeyera coriacea,Tracheophyta,Magnoliopsida,Calophyllaceae
Myrcia velutina,Tracheophyta,Magnoliopsida,Myrtaceae
Neea theifera,Tracheophyta,Magnoliopsida,Nyctaginaceae
Ouratea hexasperma,Tracheophyta,Magnoliopsida,Ochnaceae
Qualea parviflora,Tracheophyta,Magnoliopsida,Vochysiaceae
Rapanea guianensis,Tracheophyta,Magnoliopsida,Primulaceae
Sclerolobium paniculatum,Tracheophyta,Magnoliopsida,Fabaceae
Aspidosperma tomentosum,Tracheophyta,Magnoliopsida,Apocynaceae
Hirtella glandulosa,Tracheophyta,Magnoliopsida,Chrysobalanaceae
Inga edulis,Tracheophyta,Magnoliopsida,Fabaceae
Senna sp,Tracheophyta,Magnoliopsida,Fabaceae
Apeiba tibourbou,Tracheophyta,Magnoliopsida,Malvaceae
Casearia rupestris,Tracheophyta,Magnoliopsida,Salicaceae
Ocotea spixiana,Tracheophyta,Magnoliopsida,Lauraceae
Tapura amazonica,Tracheophyta,Magnoliopsida,Dichapetalaceae
Caryocar brasiliense,Tracheophyta,Magnoliopsida,Caryocaraceae
Miconia ferruginea,Tracheophyta,Magnoliopsida,Melastomataceae
Salacia crassifolia,Tracheophyta,Magnoliopsida,Celastraceae
Rhamnidium elaeocarpus,Tracheophyta,Magnoliopsida,Rhamnaceae
Xylopia sericea,Tracheophyta,Magnoliopsida,Annonaceae
Peltogyne angustiflora,Tracheophyta,Magnoliopsida,Fabaceae
Jacaranda brasiliana,Tracheophyta,Magnoliopsida,Bignoniaceae
Psidium tomentosum,Tracheophyta,Magnoliopsida,Myrtaceae
Sterculia chicha,Tracheophyta,Magnoliopsida,Malvaceae
Eugenia dysenterica,Tracheophyta,Magnoliopsida,Myrtaceae
Kielmeyera speciosa,Tracheophyta,Magnoliopsida,Calophyllaceae
Myrcia grandiflora,Tracheophyta,Magnoliopsida,Myrtaceae
Aspidosperma pyrifolium,Tracheophyta,Magnoliopsida,Apocynaceae
Buchenavia tomentosa,Tracheophyta,Magnoliopsida,Combretaceae
Calophyllum brasiliense,Tracheophyta,Magnoliopsida,Calophyllaceae
Nectandra speciosa,Tracheophyta,Magnoliopsida,Lauraceae
Schefflera morototoni,Tracheophyta,Magnoliopsida,Araliaceae
Aegiphila sellowiana,Tracheophyta,Magnoliopsida,Lamiaceae
Enterolobium sp,Tracheophyta,Magnoliopsida,Fabaceae
Guapira graciliflora,Tracheophyta,Magnoliopsida,Nyctaginaceae
Persea sp,Tracheophyta,Magnoliopsida,Lauraceae
Octodon degus,Chordata,Mammalia,Octodontidae
Phyllotis darwini,Chordata,Mammalia,Cricetidae
Abrothrix longipilis,Chordata,Mammalia,Cricetidae
Oligoryzomys longicaudatus,Chordata,Mammalia,Cricetidae
Abrothrix olivaceus,Chordata,Mammalia,Cricetidae
Abrocoma bennetti,Chordata,Mammalia,Abrocomidae
Octodon lunatus,Chordata,Mammalia,Octodontidae
Thylamys sp,Chordata,Mammalia,Didelphidae
Chelemys megalonyx,Chordata,Mammalia,Cricetidae
Rattus rattus,Chordata,Mammalia,Muridae
Spalacopus cyanus,Chordata,Mammalia,Octodontidae
Rattus norvegicus,Chordata,Mammalia,Muridae
Scaphiopus holbrookii,Chordata,Amphibia,Scaphiopodidae
Pseudacris crucifer,Chordata,Amphibia,Hylidae
Ambystoma opacum,Chordata,Amphibia,Ambystomatidae
Ambystoma talpoideum,Chordata,Amphibia,Ambystomatidae
Ambystoma tigrinum,Chordata,Amphibia,Ambystomatidae
